winner,opponent_1,opponent_2,community_cards,winner_card_type
"6c,6h","Ks,Kc","8c,Tc","6s,6d,2h,9s,5s",Four of a Kind
"8c,8h","Qh,Qc","2d,Ad","4c,2c,8d,8s,9d",Four of a Kind
"5s,5h","8c,8h","Qs,Kd","7c,Ac,5c,5d,3s",Four of a Kind
"5s,5h","Ah,Ad","6s,Qs","9s,5d,4s,Qc,5c",Four of a Kind
"Ah,Ad","Qc,Kd","6c,Jd","Kc,5d,Ac,As,Qs",Four of a Kind
"5h,Ah","Tc,Th","Qs,Ks","Qc,2h,3h,4h,3d",Straight Flush
"Ks,Kc","Js,Ac","3c,Qs","As,Th,2s,Kh,Kd",Four of a Kind
"7d,7h","Td,Kc","9c,Ac","3d,Kd,7s,Ts,7c",Four of a Kind
"Js,Jc","Qh,Qc","Tc,Kd","4h,Jh,Kh,Jd,5s",Four of a Kind
"Tc,Th","Qh,Qc","8c,Ac","Td,6h,Ts,2h,Ad",Four of a Kind
"Qh,Qc","9c,9s","5h,Ks","Qd,Qs,8h,3h,4s",Four of a Kind
"7d,7h","9h,Kh","4d,Kd","9s,8c,7s,4c,7c",Four of a Kind
"6c,6h","Js,Jc","9s,Kc","6d,Ah,7c,6s,9h",Four of a Kind
"Ah,Ad","9c,9s","2s,2h","As,Kc,3h,Ac,7d",Four of a Kind
"Qh,Qc","8h,Kh","9s,Kc","Qd,8c,Qs,7s,9d",Four of a Kind
"5s,5h","7d,7h","4c,Kh","2h,Qh,5c,5d,Ts",Four of a Kind
"Th,Qh","Ah,Ad","6c,As","Qc,Qs,Qd,Jc,6s",Four of a Kind
"5s,5h","Js,Jc","6h,Qc","Jd,5c,Ks,5d,8h",Four of a Kind
"Ks,Kc","5s,5h","Jc,Qh","5c,Kh,Td,Kd,As",Four of a Kind
"8c,8h","7s,Ad","7c,Jd","3c,8s,7d,5h,8d",Four of a Kind
"Ts,As","9h,Kh","8d,Jc","9c,Ad,Jd,Ac,Ah",Four of a Kind
"8c,8h","Ks,Kc","2d,Ad","8d,2h,Qs,8s,Ac",Four of a Kind
"9c,9s","8c,8h","6h,Ks","Ac,9d,3h,9h,Kc",Four of a Kind
"Tc,Th","9c,9s","Qs,Ks","Ts,8c,6d,8h,Td",Four of a Kind
"9c,9s","Jh,Ah","7d,Td","4h,9h,Ac,As,9d",Four of a Kind
"Ah,Ad","Js,Jc","5c,Tc","Jh,Ts,Ac,3h,As",Four of a Kind
"Ts,As","7s,Ad","4c,Qh","Ah,Js,Ks,Qs,8s",Royal Flush
"9c,9s","7d,7h","Ts,Qc","9d,5h,6h,9h,4c",Four of a Kind
"7s,Ad","9h,Kh","4s,Js","Ks,7h,Kc,7c,7d",Four of a Kind
"Js,Jc","Td,Kd","3c,Qs","Jd,6d,Jh,8d,7c",Four of a Kind
"9c,9s","7s,Ad","2s,2h","3c,Ac,2c,9h,9d",Four of a Kind
"8c,8h","Qh,Qc","Tc,Kd","8s,Kc,6h,8d,Jc",Four of a Kind
"6c,6h","9c,9s","2c,Ks","6d,Ac,9d,8d,6s",Four of a Kind
"8c,8h","Qh,Qc","7d,Td","8s,8d,7c,5s,Th",Four of a Kind
"5s,5h","8h,Kh","8d,9d","8c,5d,8s,Jh,5c",Four of a Kind
"6h,Ah","Ks,Kc","8c,Ac","6s,4s,6d,6c,9d",Four of a Kind
"6c,6h","Js,Jc","2h,Ac","6s,7d,4d,6d,3h",Four of a Kind
"Ah,Ad","Js,Jc","5s,5d","Ac,Qh,5h,Ks,As",Four of a Kind
"5s,5h","Ah,Ad","8s,Js","5d,Qd,8c,5c,9h",Four of a Kind
"8c,8h","Qh,Qc","7d,9d","Js,8s,8d,9h,6h",Four of a Kind
"9c,9s","Ah,Ad","2s,2h","5c,2c,Kh,9h,9d",Four of a Kind
"Qd,Ah","Ks,Kc","8d,9h","Th,Ac,Ad,8h,As",Four of a Kind
"Ah,Ad","Qh,Qc","4d,Kd","Jd,7s,Ac,6d,As",Four of a Kind
"5s,5h","9c,9s","2c,Ks","Td,3s,5d,5c,Ah",Four of a Kind
"6h,Ah","Th,Qh","6s,Ks","5h,3h,2h,4h,Qc",Straight Flush
"Ah,Ad","9c,9s","7h,Td","8d,Ac,5h,3d,As",Four of a Kind
"Ks,Kc","9c,Ah","6c,Jd","Kd,Ad,Qh,Tc,Kh",Four of a Kind
"Ah,Ad","Qc,Kd","5h,Ks","As,Qh,8h,Ac,8c",Four of a Kind
"5h,Ah","Tc,Th","Ks,Ac","4h,2h,3c,9h,3h",Straight Flush
"Ah,Ad","Tc,Th","7s,Qh","Ac,As,4d,8d,6d",Four of a Kind
"Qh,Qc","Kh,Ah","4s,4c","8h,Qs,Qd,As,Jd",Four of a Kind
"Qc,Kd","Tc,Th","3h,3c","Qd,3d,Qs,4s,Qh",Four of a Kind
"8h,Ah","Jd,Ks","4s,Js","Ac,As,Kh,Ad,6d",Four of a Kind
"Js,Jc","6c,6h","9c,Tc","Jd,5h,5s,Jh,7s",Four of a Kind
"Th,Qh","Jd,Ks","9s,Kc","Ah,Qd,Jh,Kh,2d",Royal Flush
"8c,8h","Js,Jc","4s,Ac","4c,8s,8d,9d,3h",Four of a Kind
"Qh,Qc","Kc,Ah","5c,Tc","Qd,Kd,9d,Qs,8c",Four of a Kind
"Js,Ac","Qc,Kd","8d,8c","As,6h,Ah,Ad,Ks",Four of a Kind
"7d,7h","Tc,Th","2c,Qc","7s,9d,7c,8h,Td",Four of a Kind
"5s,5h","Ah,Ad","7s,8s","Ts,5d,3s,Qc,5c",Four of a Kind
"Js,Jc","Tc,Th","6h,Qc","Jd,4s,9c,Ts,Jh",Four of a Kind
"Th,Qh","7d,7h","4d,Ad","Ah,Kh,3h,4c,Jh",Royal Flush
"Qh,Qc","9c,9s","7h,Kh","Qs,Kc,3c,Qd,6h",Four of a Kind
"5s,5h","Ks,Kc","8c,Ac","5c,Jh,Js,5d,Jd",Four of a Kind
"6h,Ah","Tc,Th","8d,9d","Jc,Kd,Ad,As,Ac",Four of a Kind
"Jd,Ks","Js,Jc","8c,Tc","Kc,2h,Kd,Kh,3s",Four of a Kind
"Td,Kc","Ah,Ad","9d,Tc","Kd,Kh,9h,Ks,6c",Four of a Kind
"Ts,As","Td,Kd","7d,Kh","Kc,Ad,5h,Ah,Ac",Four of a Kind
"9h,Kh","Tc,Th","Qc,Ac","9s,9c,2s,8c,9d",Four of a Kind
"8c,8h","9c,Ac","Qd,As","Jc,9s,8s,8d,Ah",Four of a Kind
"Ah,Ad","Qh,Qc","8c,Kc","6s,Ac,3c,As,2s",Four of a Kind
"7d,7h","Kh,Ah","Jh,Qh","5d,7s,Kc,7c,9c",Four of a Kind
"4c,Ac","5h,Ah","9s,Qh","2c,4h,9h,5c,3c",Straight Flush
"Ks,Kc","8h,Ah","2c,Qc","Kh,As,Kd,2d,4h",Four of a Kind
"Qh,Qc","Td,Kd","9d,Jd","3d,Ts,Qd,2c,Qs",Four of a Kind
"Ah,Ad","9h,Kh","8s,Js","As,7d,Ks,2s,Ac",Four of a Kind
"Kh,Ah","Js,Jc","5h,Qd","8c,As,Ad,Ac,4h",Four of a Kind
"8c,8h","9c,Ah","Jd,Kd","4s,3s,9h,8d,8s",Four of a Kind
"Js,Jc","Td,Kd","7s,Ad","Kc,3d,Jh,7h,Jd",Four of a Kind
"7d,7h","Tc,Th","2h,Kh","4s,7s,Td,7c,As",Four of a Kind
"8c,8h","7c,Ac","Jh,Qh","5h,8d,Ad,Ks,8s",Four of a Kind
"9c,9s","Ts,As","3s,Js","9h,Ah,9d,8s,5c",Four of a Kind
"7c,Ac","8c,8h","2c,Ks","Jc,As,7s,Ah,Ad",Four of a Kind
"Th,Qh","9c,9s","8d,9h","Qc,4h,Qs,Qd,Jc",Four of a Kind
"8h,Ad","Th,Qh","9c,Ac","Qd,8d,3d,8s,8c",Four of a Kind
"6c,6h","7s,Ad","Js,Ac","Ah,6d,5s,4d,6s",Four of a Kind
"7d,7h","Ah,Ad","4s,Ac","7c,7s,8c,5s,4c",Four of a Kind
"Qc,Kd","6c,6h","8d,8c","Kh,Ks,Kc,5h,4s",Four of a Kind
"8h,Ah","Js,Jc","Ks,Ac","8c,8d,5h,8s,5s",Four of a Kind
"Js,Jc","Th,Qh","8d,9h","6c,Jh,Tc,Qs,Jd",Four of a Kind
"Tc,Th","Jh,Kh","4s,4c","Kc,As,5c,Ts,Td",Four of a Kind
"7s,Ad","Jh,Kh","Ks,Ac","7d,Js,7c,7h,5c",Four of a Kind
"Js,Qs","Td,Kd","6c,Tc","As,Ks,Qc,Qd,Qh",Four of a Kind
"Ah,Ad","8h,Kh","3s,Js","Ac,3d,Kc,2c,As",Four of a Kind
"8c,8h","Td,Kd","6h,Qc","8d,Ks,7d,2d,8s",Four of a Kind
"4c,Ac","Tc,Th","5h,Qh","Ad,As,Qc,Ah,2c",Four of a Kind
"7d,7h","Ks,Kc","3h,3c","7c,5c,9s,7s,Jh",Four of a Kind
"Ks,Kc","Jh,Ah","7h,7s","Jd,As,Kh,Kd,9s",Four of a Kind
"Qh,Ah","Qs,Ks","5h,Jh","4s,Ad,As,3d,Ac",Four of a Kind
"5s,5h","Js,Jc","Qs,Kd","2h,5c,5d,8s,4c",Four of a Kind
"Qh,Qc","7d,7h","8d,9d","Qd,Qs,5s,Tc,9h",Four of a Kind
"8c,8h","9c,Ah","Jd,Kd","9h,8s,2h,8d,9s",Four of a Kind
"9c,9s","Js,Jc","5h,Qh","9d,4d,2c,3h,9h",Four of a Kind
"Tc,Th","Qh,Qc","6s,Ks","4d,5s,Td,Ts,3s",Four of a Kind
"Td,As","9h,Kh","7c,Jd","3d,Ah,Ks,Ac,Ad",Four of a Kind
"Ah,Ad","9c,9s","7c,Jd","Qs,Ac,7s,As,2c",Four of a Kind
"Qh,Qc","Ah,Ad","9c,Jh","Ks,Qd,As,Qs,7s",Four of a Kind
"6c,6h","Qh,Qc","9s,Kc","8c,Ac,2h,6s,6d",Four of a Kind
"Js,Jc","Ah,Ad","6c,6d","Qs,Jh,Jd,2d,7d",Four of a Kind
"Js,Qs","Ah,Ad","5h,Jh","Qh,3h,Qc,Qd,9c",Four of a Kind
"Tc,Th","9c,9s","8d,8c","Td,7c,7d,2d,Ts",Four of a Kind
"8c,8h","Kh,Ah","9d,Tc","8d,Jh,Ad,Qh,8s",Four of a Kind
"6h,Ah","Qh,Qc","7c,Ac","5s,6s,2h,6d,6c",Four of a Kind
"9c,Ac","Tc,Th","2d,Ad","4d,9h,9s,9d,Qh",Four of a Kind
"6c,6h","8c,8h","3c,Kd","Th,6d,2c,6s,As",Four of a Kind
"9c,9s","7d,7h","6h,Qc","9d,5d,2s,9h,Ad",Four of a Kind
"9c,9s","Kh,Ah","4c,Qc","9d,Qd,Ac,9h,8c",Four of a Kind
"Js,Jc","9c,9s","8d,9d","Td,7c,6s,Jh,Jd",Four of a Kind
"Ts,As","6h,Ah","7h,Kh","Tc,Th,6c,Td,4s",Four of a Kind
"Js,Jc","Td,Kd","7h,Kh","Ts,8c,Ac,Jd,Jh",Four of a Kind
"5s,5h","9h,Kh","9c,Ah","5c,5d,Ks,7s,Qh",Four of a Kind
"Js,Jc","Qh,Qc","2c,Ks","Jh,7d,Jd,6s,8s",Four of a Kind
"Ah,Ad","Js,Jc","Tc,Kc","3c,6c,As,Ac,5s",Four of a Kind
"5s,5h","6c,6h","2s,Js","4c,Kh,5c,7h,5d",Four of a Kind
"Tc,Th","9c,Ah","6h,Ks","3s,9s,Td,4c,Ts",Four of a Kind
"Td,Kd","Ks,Kc","8d,8c","Jd,7s,9d,Qd,3h",Straight Flush
"4c,Ac","Qs,Ks","2s,2h","Ah,Ad,8s,As,Tc",Four of a Kind
"5s,5h","Qh,Qc","8d,Jc","5c,Qd,Kc,Jh,5d",Four of a Kind
"Ks,Kc","6h,Ah","6c,Tc","Ac,2d,Kd,Kh,Qs",Four of a Kind
"9c,9s","Qc,Kd","2c,Ks","Kc,5h,7c,9h,9d",Four of a Kind
"Td,As","9h,Kh","3h,3c","Ad,Ac,9c,Ah,Qd",Four of a Kind
"9c,Ah","Jd,Ks","5c,Tc","2s,Jh,As,Ac,Ad",Four of a Kind
"Qc,Kd","4c,Ac","6c,As","Ah,9d,Kh,Ks,Kc",Four of a Kind
"7d,7h","Tc,Th","8d,Jc","Qc,Qs,7c,7s,9h",Four of a Kind
"Qs,Ks","7d,7h","5d,Kd","2s,Qc,Qh,Qd,2c",Four of a Kind
"Js,Jc","8c,8h","6s,Qs","Jh,9d,7s,Ah,Jd",Four of a Kind
"3s,As","7d,7h","5s,5d","Ah,2d,2s,Ac,Ad",Four of a Kind
"Js,Jc","Ts,As","3c,Kd","Jd,Tc,9h,Jh,5h",Four of a Kind
"7d,7h","Td,As","9c,Ac","Kh,7c,Tc,9d,7s",Four of a Kind
"9c,Ac","8c,8h","7s,Qs","As,Ah,Ad,6c,4s",Four of a Kind
"Tc,Th","Ks,Kc","Js,Ac","Ts,Jc,Td,4d,3h",Four of a Kind
"Kc,Ah","Js,Jc","8d,9h","Ac,Ad,8h,Ts,As",Four of a Kind
"5s,5h","Tc,Th","9c,Ah","4c,Qc,5d,Js,5c",Four of a Kind
"Qh,Qc","8h,Ad","8d,Tc","Kd,Qs,8c,Kh,Qd",Four of a Kind
"6h,Ah","8h,Kh","4s,Js","6d,8s,4c,6c,6s",Four of a Kind
"Qh,Qc","Kh,Ah","7s,Ad","Qd,4c,Qs,Th,Jh",Four of a Kind
"Tc,Th","Qh,Qc","2d,Ad","Td,4s,6h,Ts,3d",Four of a Kind
"Tc,Th","Qh,Qc","2h,Kh","3s,Td,Ts,5d,3d",Four of a Kind
"Th,Qh","Qc,Kd","6c,6d","Kh,9h,Jh,Js,9d",Straight Flush
"9c,9s","8h,Ah","Ks,Ac","9h,9d,Kh,4h,2s",Four of a Kind
"Ah,Ad","Qh,Qc","9d,Qd","As,8s,7c,Ac,Js",Four of a Kind
"8c,8h","Ks,Kc","Qs,Kd","Qh,3c,3d,8s,8d",Four of a Kind
"9c,9s","6c,6h","Ks,Ac","6s,9d,3c,9h,5h",Four of a Kind
"Jh,Kh","7c,Ac","8h,As","7d,Ks,Kc,3c,Kd",Four of a Kind
"6c,6h","Jh,Ah","9s,Qh","6s,Jc,9h,9c,6d",Four of a Kind
"Ts,As","Qh,Qc","4s,Js","Ah,Ad,9s,4h,Ac",Four of a Kind
"Qh,Ah","Jd,Ks","8d,Tc","Th,5s,Jh,3h,Kh",Royal Flush
"3s,As","Ks,Kc","Jc,Kh","Ac,9s,Kd,Ad,Ah",Four of a Kind
"4c,Ac","Qh,Qc","7h,Kh","As,Ad,4d,3h,Ah",Four of a Kind
"Tc,Th","9h,Kh","2s,Js","7s,Kd,Td,Ts,Jd",Four of a Kind
"9c,Ac","Tc,Th","3s,As","9h,9s,9d,Kc,2c",Four of a Kind
"6c,6h","Qh,Qc","3d,As","3h,6s,Jc,6d,2c",Four of a Kind
"9c,Ah","Ks,Kc","9d,Qd","As,Ac,8h,Qc,Ad",Four of a Kind
"Qh,Qc","Td,As","8d,Tc","Ad,Qs,9s,2c,Qd",Four of a Kind
"7d,7h","Th,Qh","Tc,Kc","7s,8h,Qc,8d,7c",Four of a Kind
"8h,Ad","7d,7h","3h,3c","Ah,4c,Ks,As,Ac",Four of a Kind
"7d,7h","Tc,Th","3h,Qh","8d,7s,Ts,7c,5s",Four of a Kind
"Td,Kd","Jh,Ah","8d,Tc","6s,Ad,Qd,Jd,Kh",Royal Flush
"Js,Jc","7s,Ad","3s,As","4c,Jd,7h,9s,Jh",Four of a Kind
"Ks,Kc","Qd,Ah","9d,Jd","Kh,Qh,6s,Kd,9s",Four of a Kind
"Js,Qs","3s,As","4c,Kh","Qh,Ac,Qc,2s,Qd",Four of a Kind
"7c,Ac","Qh,Qc","9s,Kc","Th,7h,7d,5h,7s",Four of a Kind
"Js,Qs","8h,Ad","5s,5d","Qh,Qc,As,Qd,9d",Four of a Kind
"6c,6h","Ks,Kc","2c,Qc","6d,Kd,Jd,6s,4d",Four of a Kind
"Js,Ac","Td,Kd","7h,Kh","As,Ah,8d,Ad,9c",Four of a Kind
"Jd,Ks","Qh,Qc","8d,Tc","Jh,6h,Jc,Js,7s",Four of a Kind
"7d,7h","Ah,Ad","6s,9s","7c,6h,8h,7s,Kh",Four of a Kind
"7d,7h","Kh,Ah","9c,Tc","Ad,7s,2s,7c,8c",Four of a Kind
"6c,6h","Ah,Ad","8d,Jc","9s,7c,6d,4c,6s",Four of a Kind
"Ks,Kc","Ah,Ad","4s,Js","Kh,7h,6s,Kd,4d",Four of a Kind
"6c,6h","Ah,Ad","8c,Tc","Qs,6s,6d,Qd,2c",Four of a Kind
"Ks,Kc","Ah,Ad","6h,Qc","8s,Kh,Kd,7d,4s",Four of a Kind
"Tc,Th","Ah,Ad","3h,Qh","Ts,5s,Td,4d,6d",Four of a Kind
"Qh,Qc","Ts,As","8c,Tc","Td,Qs,7c,Ah,Qd",Four of a Kind
"8c,8h","Ah,Ad","6s,Ks","9d,8d,3c,8s,9h",Four of a Kind
"Td,Kd","Jh,Ah","6s,9s","5c,Qd,Jd,Tc,Ad",Royal Flush
"Ks,Kc","8c,8h","5h,Qh","5s,8d,Kh,Kd,3h",Four of a Kind
"9c,9s","5s,5h","8d,8c","5c,Jc,9d,Qc,9h",Four of a Kind
"6h,Ah","Qh,Qc","9c,Tc","Ad,Ks,Ac,As,3h",Four of a Kind
"Ah,Ad","Js,Jc","8c,Tc","Ts,Ac,As,3d,5h",Four of a Kind
"6c,6h","8c,8h","8d,9h","6s,3s,Ad,6d,Jh",Four of a Kind
"Ks,Kc","Js,Jc","9d,Jd","8s,8h,Kd,4h,Kh",Four of a Kind
"8c,8h","Ks,Kc","5d,Kd","8s,7d,8d,4d,3h",Four of a Kind
"Ks,Kc","Js,Ac","8c,Qc","Ad,Kh,Kd,9h,Ah",Four of a Kind
"5s,5h","9c,9s","6c,Ac","5c,Ts,5d,Kd,2s",Four of a Kind
"Ah,Ad","Qh,Qc","7d,9d","3h,Ac,8h,As,2c",Four of a Kind
"Ks,Kc","3s,As","3c,Qs","Kd,Jh,Ad,Kh,3h",Four of a Kind
"Qd,Ah","Td,Kc","8d,8c","Ac,Ad,As,2s,5c",Four of a Kind
"Qh,Qc","6c,6h","2h,Ac","Jc,Qs,6d,Qd,4h",Four of a Kind
"Qs,Ks","7c,Ac","9c,Ah","7d,As,Js,6h,Ts",Royal Flush
"Th,Qh","3s,As","7c,Jd","Ah,4c,Kh,Js,Jh",Royal Flush
"3s,As","Td,Kd","7c,Jd","Ad,6d,8h,Ac,Ah",Four of a Kind
"Ah,Ad","7d,7h","2s,2h","8d,Ac,2d,As,9h",Four of a Kind
"Qd,Ah","8c,8h","7c,Ac","Qs,Qh,2h,Qc,7s",Four of a Kind
"Qh,Qc","8c,8h","6c,Tc","Qd,6d,5s,Qs,Jc",Four of a Kind
"Qd,Ah","Tc,Th","6c,As","Qh,5s,Qs,Qc,2h",Four of a Kind
"Js,Qs","Qd,Ah","Kd,Ad","5c,Ks,Jh,Ts,As",Royal Flush
"5s,5h","9c,9s","8d,Jc","6c,5d,Ac,5c,7h",Four of a Kind
"9c,9s","Qh,Qc","3s,As","9h,6s,3c,8c,9d",Four of a Kind
"Js,Jc","Ts,As","8h,Qs","Jh,Tc,9c,Jd,3c",Four of a Kind
"Ah,Ad","6c,6h","7h,Td","As,8d,6d,Ac,2h",Four of a Kind
"Jh,Kh","Ks,Kc","Kd,Ad","Qh,7s,9h,Th,7d",Straight Flush
"Tc,Th","Qh,Qc","4s,Js","8h,Td,3h,6s,Ts",Four of a Kind
"7d,7h","5s,5h","Ks,Ac","7c,5d,Qc,7s,9h",Four of a Kind
"8c,8h","5s,5h","4c,Qc","2s,8d,8s,Kc,Jc",Four of a Kind
"7s,Ad","Ks,Kc","9c,Ah","7h,7d,9s,7c,2h",Four of a Kind
"9c,9s","Js,Jc","2c,Ks","9h,7s,9d,8d,As",Four of a Kind
"Tc,Th","Jh,Ah","2h,Kh","Js,Ts,Td,Qh,7c",Four of a Kind
"9c,Ah","Qh,Qc","2c,Ks","As,Ac,7d,7h,Ad",Four of a Kind
"7d,7h","Tc,Th","9c,Ah","7c,9s,4h,7s,Kh",Four of a Kind
"8c,8h","Js,Ac","9c,Jh","8d,Ah,8s,7d,Ad",Four of a Kind
"Td,Kd","Js,Qs","6h,Jh","Ad,Jd,9c,4h,Qd",Royal Flush
"Js,Jc","8c,8h","7d,9d","Jh,As,Jd,6d,4d",Four of a Kind
"Qs,Ks","Js,Jc","9c,Tc","9s,Kc,Kd,Kh,8d",Four of a Kind
"5s,5h","Ks,Kc","2d,Ad","5d,8h,5c,4s,Js",Four of a Kind
"8c,8h","Jd,Ks","7h,7s","Kc,5c,8s,8d,2d",Four of a Kind
"Ks,Kc","9c,Ac","3c,Qs","Kh,As,Ad,6s,Kd",Four of a Kind
"9c,9s","6h,Ah","2s,2h","9d,Ad,Qc,5d,9h",Four of a Kind
"Qh,Qc","9h,Kh","2c,Ks","Qd,Ah,9c,7h,Qs",Four of a Kind
"8c,8h","7c,Ac","4c,Qh","6d,Ad,8s,8d,Ah",Four of a Kind
"Ah,Ad","Qh,Qc","Tc,Jc","8s,As,Ac,Td,9s",Four of a Kind
"Tc,Th","Js,Ac","Jd,Kd","Qc,Qd,4h,Td,Ts",Four of a Kind
"7d,7h","Tc,Th","3h,Qh","8s,7s,Ac,7c,8c",Four of a Kind
"Jd,Ks","Tc,Th","Js,As","5h,Kh,Ts,Kd,Kc",Four of a Kind
"5s,5h","7d,7h","8d,9h","6c,5c,5d,Ts,Jd",Four of a Kind
"Td,Kc","Ah,Ad","7h,7s","Ks,8h,Kd,Kh,Js",Four of a Kind
"Ah,Ad","Ks,Kc","2s,Js","Kh,Jd,As,Ac,3h",Four of a Kind
"Ks,Kc","Js,Jc","2h,Ac","Kd,7c,Kh,5s,7h",Four of a Kind
"4c,Ac","8c,8h","9s,Kc","As,2d,Ah,Ad,4h",Four of a Kind
"Tc,Th","Qc,Kd","4d,Ad","Td,3h,Kc,7d,Ts",Four of a Kind
"6c,6h","Js,Jc","3s,As","6s,6d,Ah,7s,8c",Four of a Kind
"Td,Kc","Js,Jc","2c,Ks","Th,Ts,Qh,3s,Tc",Four of a Kind
"Js,Jc","9c,9s","Ts,Qc","9h,2s,Jh,Jd,8c",Four of a Kind
"Qd,Ah","Tc,Th","5h,Ks","5s,Qs,9c,Qh,Qc",Four of a Kind
"9h,Kh","Ts,As","7d,Td","Kd,Th,6d,Kc,Ks",Four of a Kind
"Js,Jc","8c,8h","5s,5d","5c,Jh,Jd,Ks,3d",Four of a Kind
"Qh,Qc","Jh,Kh","3s,As","Js,Qd,6s,Qs,5h",Four of a Kind
"Qh,Qc","Ks,Kc","4d,Ad","Qd,Js,3d,Qs,Ts",Four of a Kind
"Ah,Ad","Td,Kc","2c,Ks","Ac,Qc,As,Jc,5d",Four of a Kind
"Ah,Ad","Jh,Kh","6h,Qc","As,Ac,Th,Tc,4d",Four of a Kind
"Js,Jc","Qd,Ah","6s,Ks","Jd,Jh,Qs,Td,6d",Four of a Kind
"9c,9s","8c,8h","5d,Ad","9d,3d,9h,4h,Qc",Four of a Kind
"Qh,Qc","6c,6h","8d,9h","3c,Qd,2c,Qs,7d",Four of a Kind
"8h,Ad","Js,Jc","9d,Tc","Ac,2c,As,Ah,5s",Four of a Kind
"7s,Ad","8c,8h","7h,Td","As,Ac,2d,8s,Ah",Four of a Kind
"7d,7h","Js,Ac","5d,Kd","Ts,6h,Jc,7s,7c",Four of a Kind
"5s,5h","Qs,Ks","7c,Ac","8h,Kc,5c,6d,5d",Four of a Kind
"9c,9s","6c,6h","3h,3c","4c,3d,Qh,9h,9d",Four of a Kind
"Js,Jc","Kh,Ah","8h,Qs","Jd,Qh,Qd,Jh,7h",Four of a Kind
"Ts,As","Jh,Kh","Qs,Kd","Ah,8h,Ac,Ad,7c",Four of a Kind
"Js,Ac","Jd,Ks","7s,Qh","Kc,Ad,6c,As,Ah",Four of a Kind
"Qd,Ah","Td,As","7h,Kh","Qh,Tc,Qc,5c,Qs",Four of a Kind
"8c,8h","Qh,Ah","7s,Qs","Th,Qd,8s,Ts,8d",Four of a Kind
"Td,Kd","7d,7h","Qd,As","Th,4s,Tc,Ts,6s",Four of a Kind
"Qs,Ks","Js,Jc","9c,Ac","4d,Qd,Qh,Qc,Ad",Four of a Kind
"6c,6h","9c,9s","Js,As","3d,6s,7c,6d,Ks",Four of a Kind
"8c,8h","Ks,Kc","7c,Jd","8d,6s,2d,4d,8s",Four of a Kind
"Ts,As","7c,Ac","4s,4c","Js,Ah,Kd,Ks,Qs",Royal Flush
"Tc,Th","Ks,Kc","5d,Kd","4c,Jd,Ah,Td,Ts",Four of a Kind
"8c,8h","4c,Ac","Ts,Qc","As,2c,8d,8s,7d",Four of a Kind
"7d,7h","Qh,Qc","Td,Ad","7s,9c,Ts,Js,7c",Four of a Kind
"7d,7h","Tc,Th","7s,Ad","6h,8s,4h,8h,5h",Straight Flush
"Qh,Qc","6h,Ah","8c,Kc","6c,7h,3h,Qd,Qs",Four of a Kind
"8c,8h","9c,Ac","7s,Qh","6c,8s,8d,As,Qc",Four of a Kind
"Qh,Qc","6c,6h","8c,Kc","5h,Qd,Qs,8h,Kd",Four of a Kind
"Js,Jc","Th,Qh","Ts,Qc","3s,9s,Tc,Jd,Jh",Four of a Kind
"5s,5h","7d,7h","Jc,Qh","5d,4s,5c,9c,Kh",Four of a Kind
"4c,Ac","Ks,Kc","8d,9h","5h,As,Qd,Ah,Ad",Four of a Kind
"6h,Ah","8c,8h","7s,Qs","As,Ad,Ac,3d,Kd",Four of a Kind
"Qh,Qc","9c,9s","6c,Ac","Qd,Qs,Kh,4s,3c",Four of a Kind
"8c,8h","9c,9s","9d,Qd","8s,3c,5s,Qc,8d",Four of a Kind
"Ac,As","Jc,Jd","8h,Jh","Ad,Ah,7s,5s,Qh",Four of a Kind
"Td,Tc","Ac,As","8d,Kd","3c,5d,6s,Ts,Th",Four of a Kind
"5d,Ad","8d,Kd","5h,Qd","2c,4d,3d,2d,Qs",Straight Flush
"7d,7s","Td,Tc","8s,Jd","7h,As,8c,9s,7c",Four of a Kind
"9d,9h","Qh,Ah","5c,Tc","9c,Ac,7d,Kc,9s",Four of a Kind
"Js,Ks","Jc,Kh","Th,Qc","Ad,Qs,Ts,4h,9s",Straight Flush
"Js,Ks","7h,Ac","3h,Ah","Jd,7s,Jc,Jh,Tc",Four of a Kind
"Jc,Kh","4h,Ah","7d,Ac","Jd,As,Js,Ts,Jh",Four of a Kind
"Kc,Kd","9d,9h","4s,4d","Ks,Kh,8h,Jc,5d",Four of a Kind
"Qh,Qc","Td,Tc","3c,Kc","Jd,Qd,9c,Qs,2h",Four of a Kind
"8s,8d","Jc,Jd","5h,Qh","8c,7h,7c,Td,8h",Four of a Kind
"7s,As","5s,5c","Ts,Ks","Ad,Ah,4d,Ac,8d",Four of a Kind
"Qh,Qc","Ts,Kh","Kd,Ad","4d,Kc,3h,Qs,Qd",Four of a Kind
"9d,9h","6d,6s","Js,Ks","3d,9c,Ad,9s,Kd",Four of a Kind
"Th,Kh","Qh,Ah","8s,Jd","Ks,Kd,Kc,Js,Qc",Four of a Kind
"9d,9h","7d,7s","Tc,Ks","Qh,7h,9s,Jd,9c",Four of a Kind
"Qh,Ah","5s,5c","7h,Kh","Ad,5d,2s,As,Ac",Four of a Kind
"9d,9h","Kc,Kd","2h,Kh","Qd,9s,4s,9c,6s",Four of a Kind
"7d,7s","Qh,Ah","9h,Js","Qs,Kd,7c,7h,2c",Four of a Kind
